frameId,swimmerId,swimmerName,lane,cumul,eventId,eventX,eventY,event,TempsVideo (s),Temps (s),distance (m),tempo (s),frequence (cylce/min),amplitude (m),vitesse (m/s)
1650.00,6,Ligne 7,ligne7,71.78,77,28.2183,12,respi,56.4,33,71.78
1668.00,6,Ligne 7,ligne7,72.56,78,27.4352,12,cycle,56.76,33.36,72.56,0.92,65.22,1.94,2.11
1706.00,6,Ligne 7,ligne7,74.03,79,25.9727,12,cycle,57.519999999999996,34.12,74.03,1.52,39.47,2.92,1.92
1710.00,6,Ligne 7,ligne7,74.21,80,25.7878,12,respi,57.6,34.2,74.21
1729.00,6,Ligne 7,ligne7,74.94,81,25.0614,12,cycle,57.98,34.58,74.94,0.92,65.22,1.82,1.98
1729.00,6,Ligne 7,ligne7,75.00,82,25.0000,12,section,57.98,34.58,75.00
1767.00,6,Ligne 7,ligne7,76.46,83,23.5411,12,cycle,58.74,35.34,76.46,1.52,39.47,3.04,2.00
1770.00,6,Ligne 7,ligne7,76.60,84,23.3996,12,respi,58.8,35.4,76.60
1788.00,6,Ligne 7,ligne7,77.30,85,22.6955,12,cycle,59.16,35.76,77.30,0.84,71.43,1.69,2.01
1827.00,6,Ligne 7,ligne7,78.82,86,21.1785,12,cycle,59.94,36.54,78.82,1.56,38.46,3.03,1.94
1833.00,6,Ligne 7,ligne7,79.02,87,20.9828,12,respi,60.059999999999995,36.66,79.02
1849.00,6,Ligne 7,ligne7,79.71,88,20.2871,12,cycle,60.379999999999995,36.98,79.71,0.88,68.18,1.78,2.03
1886.00,6,Ligne 7,ligne7,81.10,89,18.9005,12,cycle,61.12,37.72,81.10,1.48,40.54,2.77,1.87
1892.00,6,Ligne 7,ligne7,81.29,90,18.7104,12,respi,61.24,37.84,81.29
1911.00,6,Ligne 7,ligne7,81.92,91,18.0804,12,cycle,61.62,38.22,81.92,1.00,60.00,1.64,1.64
1948.00,6,Ligne 7,ligne7,83.38,92,16.6220,12,cycle,62.36,38.96,83.38,1.48,40.54,2.92,1.97
1952.00,6,Ligne 7,ligne7,83.53,93,16.4668,12,respi,62.44,39.04,83.53
1970.00,6,Ligne 7,ligne7,84.23,94,15.7728,12,cycle,62.8,39.4,84.23,0.88,68.18,1.70,1.93
1990.00,6,Ligne 7,ligne7,85.00,95,15.0000,12,section,63.199999999999996,39.8,85.00
2008.00,6,Ligne 7,ligne7,85.71,96,14.2929,12,cycle,63.559999999999995,40.16,85.71,1.52,39.47,2.96,1.95
2011.00,6,Ligne 7,ligne7,85.82,97,14.1821,12,respi,63.62,40.22,85.82
2031.00,6,Ligne 7,ligne7,86.50,98,13.5023,12,cycle,64.02,40.62,86.50,0.92,65.22,1.58,1.72
2068.00,6,Ligne 7,ligne7,87.95,99,12.0501,12,cycle,64.75999999999999,41.36,87.95,1.48,40.54,2.90,1.96
2074.00,6,Ligne 7,ligne7,88.15,100,11.8521,12,respi,64.88,41.48,88.15
2090.00,6,Ligne 7,ligne7,88.83,101,11.1651,12,cycle,65.19999999999999,41.8,88.83,0.88,68.18,1.77,2.01
2128.00,6,Ligne 7,ligne7,90.17,102,9.8300,12,cycle,65.96000000000001,42.56,90.17,1.52,39.47,2.67,1.76
2134.00,6,Ligne 7,ligne7,90.37,103,9.6349,12,respi,66.08,42.68,90.37
2150.00,6,Ligne 7,ligne7,91.01,104,8.9867,12,cycle,66.4,43,91.01,0.88,68.18,1.69,1.92
2188.00,6,Ligne 7,ligne7,92.40,105,7.5959,12,cycle,67.16,43.76,92.40,1.52,39.47,2.78,1.83
2193.00,6,Ligne 7,ligne7,92.58,106,7.4153,12,respi,67.25999999999999,43.86,92.58
2212.00,6,Ligne 7,ligne7,93.30,107,6.6991,12,cycle,67.64,44.24,93.30,0.96,62.50,1.79,1.87
2250.00,6,Ligne 7,ligne7,94.67,108,5.3326,12,cycle,68.4,45,94.67,1.52,39.47,2.73,1.80
2252.00,6,Ligne 7,ligne7,94.84,109,5.1566,12,respi,68.44,45.04,94.84
2254.00,6,Ligne 7,ligne7,95.00,110,5.0000,12,section,68.47999999999999,45.08,95.00
2272.00,6,Ligne 7,ligne7,95.48,111,4.5238,12,cycle,68.84,45.44,95.48,0.88,68.18,1.62,1.84
2306.00,6,Ligne 7,ligne7,96.76,112,3.2366,12,cycle,69.52,46.12,96.76,1.36,44.12,2.57,1.89
2332.00,6,Ligne 7,ligne7,97.70,113,2.2951,12,cycle,70.03999999999999,46.64,97.70,1.04,57.69,1.88,1.81
2360.00,6,Ligne 7,ligne7,98.71,114,1.2920,12,cycle,70.6,47.2,98.71,1.12,53.57,2.01,1.79
2374.5,6,Ligne 7,ligne7,100.00,115,0.0000,,finish,70.89,47.49,100.00
